1000;3;0;
2000;8;0;
3000;16;1;
4000;26;0;
5000;42;1;
6000;56;1;
7000;75;0;
8000;98;1;
9000;127;1;
10000;158;1;
11000;193;2;
12000;227;2;
13000;262;2;
14000;319;2;
15000;351;2;
16000;399;2;
17000;439;2;
18000;488;2;
19000;541;2;
20000;598;3;
21000;654;3;
22000;718;3;
23000;789;3;
24000;851;3;
25000;929;4;
26000;998;3;
27000;1076;4;
28000;1158;4;
29000;1242;4;
30000;1327;4;
31000;1420;4;
32000;1520;4;
33000;1605;4;
34000;1720;5;
35000;1888;5;
36000;1936;5;
37000;2067;5;
38000;2130;5;
39000;2267;6;
40000;2371;5;
41000;2483;6;
42000;2604;6;
43000;2717;6;
44000;2854;6;
45000;2979;7;
46000;3116;6;
47000;3289;7;
48000;3525;6;
49000;3524;7;
50000;3828;8;
51000;4095;8;
52000;4395;8;
53000;4288;8;
54000;4442;8;
55000;4590;8;
56000;4599;8;
57000;4853;8;
58000;4991;9;
59000;5097;9;
60000;5350;8;
61000;5671;9;
62000;5633;9;
63000;5818;9;
64000;6018;9;
65000;6223;9;
66000;6522;9;
67000;6569;9;
68000;6778;10;
69000;6947;10;
70000;7299;10;
71000;7420;10;
72000;7573;11;
73000;7780;11;
74000;8138;10;
75000;8260;11;
76000;8500;11;
77000;8665;11;
78000;9076;11;
79000;9208;12;
80000;9421;12;
81000;9801;12;
82000;9930;12;
83000;10141;12;
84000;10956;13;
85000;10915;13;
86000;11430;13;
87000;11331;13;
88000;11319;13;
89000;11753;14;
90000;11860;14;
91000;12288;14;
92000;12642;13;
93000;12891;15;
94000;13342;13;
95000;13718;15;
96000;15465;15;
97000;14635;14;
98000;14473;15;
99000;14539;15;
